Discipline,Effect,Description,Critique,Link,doi,Notes
Social Psychology,Anthropomorphism,"Individuals who are lonely are more likely than people who are not lonely to attribute humanlike traits (e.g., free will) to nonhuman agents (e.g., an alarm clock),to fulfil unmet needs for belongingness",Bartz et al. 2016,https://journals.sagepub.com/doi/full/10.1177/0956797616668510?casa_token=qcDJNqQPntEAAAAA%3Aul4FzUrPqPGk0Y2lem5J4E6x2vl0HPz4WRILo-UTZtyf3eKUK7V8-eWpYsvDtf1x-R-qKXWzYPcd,10.1177/0956797616668510,"total n=178, citations= 83 (GS, March 2023"
Social Psychology,Female-named hurricanes are more deadly than male-named ones,"Original effect size was a 176% increase in deaths, driven entirely by four outliers; reanalysis using a greatly expanded historical dataset found a nonsignificant decrease in deaths from female named storms",Christensen 2014,https://www.pnas.org/content/111/34/E3497,,"same data, citations = 114(GS, March 2022)"
Social Psychology,Female-named hurricanes are more deadly than male-named ones,"Original effect size was a 176% increase in deaths, driven entirely by four outliers; reanalysis using a greatly expanded historical dataset found a nonsignificant decrease in deaths from female named storms",Smith 2016,https://sci-hub.se/10.1016/j.wace.2015.11.006,10.1016/j.wace.2015.11.006,"same data, citations = 8(GS, March 2022)"
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations",Oswald et al. 2013,http://bear.warrington.ufl.edu/brenner/mar7588/Papers/oswald-jpsp2013.pdf,,"meta-analysis of 308 experiments, citations= 900(GS, Dec 2021)"
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations","Carlsson and Agerström, 2015",https://lnu.se/globalassets/lmdswp201511.pdf,,"n=NA, citations= 84(GS, Dec 2021)"
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations",Schimmack 2021,https://doi.org/10.1177/1745691619863798,10.1177/1745691619863798,"review paper, n=NA, citations= 101(GS, Dec 2021)"
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations",Schimmack 2019,https://journals.sagepub.com/doi/10.1177/1745691619863798,10.1177/1745691619863798,"review paper, n=NA, citations= 113(GS, Jan 2022)"
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations",Forscher et al. 2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6687518/pdf/nihms-1017350.pdf,,"meta-analysis n=87,418, citations= 459(GS, Jan 2022)"
Social Psychology,Implicit bias testing for racism,"Implicit bias scores poorly predict actual bias, _r_ = 0.15. The operationalisations used to measure that predictive power are often unrelated to actual discrimination (e.g. ambiguous brain activations). Test-retest reliability of 0.44 for race, which is usually classed as “unacceptable”. This isn’t news; the original study also found very low test-criterion correlations",Marchery 2021,https://wires.onlinelibrary.wiley.com/doi/full/10.1002/wcs.1569?casa_token=62xeAxMgE0wAAAAA%3AEiZuGpbw22N_fJ85Q7Ixjmqj2JH0X_jL086xHuM7h2d_oIdPdOeEeTRq3UQJUagIGzEGqn1aZe_G,10.1002/wcs.1569,"review paper, n=NA, citations= 3(GS, Jan 2022)"
Social Psychology,Pygmalion effect,"Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour",Raudenbush 1984,https://web.s.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=0&sid=15780634-fea0-4165-bcfd-38a4665782e5%40redis,,"n=findings from 18 experiments, citations= 598(GS, March 2023)"
Social Psychology,Pygmalion effect,"Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour",Thorndike 1986,https://journals.sagepub.com/doi/10.3102/00028312005004708,10.3102/00028312005004708,"review, n=NA, citations= 496(GS, March 2023)"
Social Psychology,Pygmalion effect,"Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour",Spitz 1999,https://www.sciencedirect.com/science/article/abs/pii/S0160289699000264,,"review, n=NA, citations= 147(GS, March 2023)"
Social Psychology,Pygmalion effect,"Rosenthal Effect, self-fulfilling prophecy). Expectations about performance (e.g., academic achievement) impact performance. Specifically, teachers' expectations about their students’ abilities affect those students’ academic achievement; teacher beliefs impact their behaviour which in turn impacts student beliefs and behaviour",Jussim and Harber 2005,https://journals.sagepub.com/doi/abs/10.1207/s15327957pspr0902_3,10.1207/s15327957pspr0902_3,"review, n=NA, citations= 1,760(GS, March 2023)"
Social Psychology,Stereotype threat on Asian women’s mathematical performance,"stereotype lift), i.e. the interaction between race, gender and stereotyping. This study found that Asian-American women performed better on a maths test when their ethnic identity was activated, but worse when their gender identity was activated, compared with a control group who had neither identity activated",Gibson et al. 2014,http://dx.doi.org/10.1027/1864-9335/a000184,10.1027/1864-9335/a000184,"n=127, citations= 81(GS, March 2023)"
Social Psychology,Stereotype threat on Asian women’s mathematical performance,"stereotype lift), i.e. the interaction between race, gender and stereotyping. This study found that Asian-American women performed better on a maths test when their ethnic identity was activated, but worse when their gender identity was activated, compared with a control group who had neither identity activated",Moon and Roeder 2014,https://doi.org/10.1027/1864-9335/a000193,10.1027/1864-9335/a000193,"n=139, citations= 50(GS, March 2023)"
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance",Stoet & Geary 2012,https://journals.sagepub.com/doi/10.1037/a0026617,10.1037/a0026617,"meta-analysis, _k=_23,"
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance",Flore & Wicherts 2015,https://www.sciencedirect.com/science/article/pii/S0022440514000831,,"meta-analysis, n=47 measurements, citations= 357(GS, March 2023)"
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance",Flore et al. 2018,https://www.tandfonline.com/doi/full/10.1080/23743603.2018.1559647,10.1080/23743603.2018.1559647,"Registered Report n=2064 Dutch high school students, citations= 89(GS, March 2023)"
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance",Agnoli et al. 2021,https://psycnet.apa.org/fulltext/2021-77666-009.pdf?auth_token=28dfebe2d9950aa2d8ab814684048733c6b3f847,,"conceptual replication with n_ _= 164 ninth grade and n = 164 eleventh grade Italian high school students, citations= 6(GS, March 2023)"
Social Psychology,Stereotype threat on girls’ mathematical performance,"A situational phenomenon whereby priming a negative gender stereotype (e.g., “women are bad at maths”) has a detrimental impact on mathematical performance",Ganley 2013,https://psycnet.apa.org/record/2013-02693-001,,"n=931 across three studies, citations= 195(GS, March 2023)"
Social Psychology,Increase in narcissism,"leadership, vanity, entitlement) in young people over the last thirty years. It's [an ancient hypothesis.](https://quoteinvestigator.com/2010/05/01/misbehave) The basic counterargument is that they’re misidentifying an age effect as a cohort effect (The narcissism construct [apparently](https://journals.sagepub.com/doi/abs/10.1177/1745691609357019) decreases by about a standard deviation between adolescence and retirement.) “every generation is Generation Me”",Donnellan,https://www.gleech.org/psych,,and Trzesniewski](https://journals
Social Psychology,Increase in narcissism,"leadership, vanity, entitlement) in young people over the last thirty years. It's [an ancient hypothesis.](https://quoteinvestigator.com/2010/05/01/misbehave) The basic counterargument is that they’re misidentifying an age effect as a cohort effect (The narcissism construct [apparently](https://journals.sagepub.com/doi/abs/10.1177/1745691609357019) decreases by about a standard deviation between adolescence and retirement.) “every generation is Generation Me”","_k_ = 5, n=477,380, citations = 432(GS, March 2022)]. [Arnett 2013",https://journals.sagepub.com/doi/full/10.1177/2167696812466842,10.1177/2167696812466842,"unsystematic review, citations=171(GS, March 2022)"
